source_product,recommended_product,support,confidence,lift,association_score
Printer Laser HP,Printer Pape A4 Paperline,0.00682,0.10770688566013897,2.923639675899538,0.31164681996637367
Laptop Entry-Level Dell,Mic Wireless Logitech,0.00728,0.15072463768115943,1.4540289183982193,0.286158049838393
Laptop Entry-Level Lenovo,Mic Wireless Logitech,0.00518,0.15040650406504066,1.450959908016985,0.284317976453332
Laptop Premium Lenovo,Mic Wireless Logitech,0.00636,0.14818266542404473,1.4295067087019557,0.27145537379634244
Keyboard Membrane Dell,Mic Wireless Logitech,0.0117,0.1418869755032743,1.3687726751232328,0.23504132989510945
Keyboard Mechanical Corsair,Mic Wireless Logitech,0.00512,0.14174972314507198,1.3674486122426392,0.23424746719538558
Tablet Pro iPad,Charger Standard HP,0.00572,0.12489082969432315,1.7654909484637145,0.21834255890635607
Laptop Entry-Level Dell,Mic Wired Dell,0.0062,0.12836438923395446,1.599356955319642,0.20937560914025344
Smartphone Premium Samsung,Charger Fast Belkin,0.00596,0.1277325332190313,1.6180964431090867,0.209335683350738
Tablet Pro Samsung,Charger Fast Belkin,0.00698,0.1258111031002163,1.5937560565013464,0.19737736076505685
Laptop Premium Lenovo,Mic Wired Dell,0.00542,0.12628145386766076,1.5734046083685618,0.19647529630023974
Smartphone Mid-Range Xiaomi,Charger Fast Belkin,0.00508,0.12481572481572482,1.581146754696286,0.19118246743837594
Keyboard Membrane Logitech,Mic Wireless Logitech,0.00662,0.13417105796513984,1.2943378156004228,0.1904127405732359
Laptop Premium Lenovo,Charger Fast Belkin,0.00532,0.1239515377446412,1.5701993633727034,0.18580406326473559
Tablet Pro iPad,Charger Fast Belkin,0.00558,0.12183406113537118,1.5433754894270482,0.17262561450756642
Tablet Pro Samsung,Charger Standard Dell,0.0062,0.11175198269646719,1.8082845096515727,0.16702478213130206
Keyboard Mechanical Logitech,Mic Wireless Logitech,0.0077,0.12833333333333333,1.23802173773233,0.1566475514198448
Laptop Bag Premium Samsonite,Mic Wireless Logitech,0.00622,0.12808896210873147,1.2356643074351867,0.15523411705239087
Smartphone Premium Samsung,Charger Standard HP,0.00514,0.11015859408486926,1.55723203399589,0.12350548228689168
Tablet Pro Samsung,Charger Standard HP,0.00606,0.10922855082912761,1.5440846880001076,0.11751843552478405
Charger Standard Dell,Tablet Pro Samsung,0.0062,0.10032362459546926,1.8082845096515727,0.11697014472615126
Mic Wireless Logitech,Keyboard Membrane Dell,0.0117,0.11286899479066177,1.3687726751232328,0.10794656352857006
Mic Wireless Corsair,Keyboard Membrane Dell,0.00668,0.11238223418573351,1.362869684522599,0.10495544367557902
Laptop Bag Standard Dell,Mic Wireless Logitech,0.00644,0.11570247933884298,1.1161728664754291,0.08359114653751053
Mic Wired Dell,Keyboard Membrane Dell,0.00838,0.10441066533765263,1.2661977363285548,0.055970547199633555
Keyboard Membrane Dell,Mic Wired Dell,0.00838,0.1016250303177298,1.2661977363285548,0.04376984875869554
Mic Wired Logitech,Keyboard Membrane Dell,0.00594,0.10237849017580145,1.241553361336423,0.04348293129599204
Keyboard Mechanical Logitech,Mic Wired Dell,0.00606,0.101,1.2584101669573886,0.03989882771613927
Laptop Bag Standard Dell,Mic Wired Dell,0.00558,0.10025152712899749,1.2490845642785633,0.03526328580521746
Laptop Bag Standard Dell,Keyboard Membrane Dell,0.00562,0.1009701760689903,1.224474606706164,0.03482891073335638
Monitor Standard LG,Mic Wireless Logitech,0.00612,0.1043656207366985,1.0068070686542399,0.018019164429782884
